#,,,,,TABLE I,,,,,
#,,,,,SMASS Observational Results for Near-Earth and Mars-Crossing Objects,,,,,
#,,,,,,,,,,
#,,Provisional,,,,,,H,,
#Number,Name,Desgination,Orbit,Type,Slope,PC2',PC3',Mag,T,Reference
#====================================================================,,,,,,,,,,
,,2000 EA107,ATE,Q,0.0135,-0.1665,0.0143,16.2,6.25,*
,,2000 EZ148,APO,S:,,,,15.5,3.10,*
,,2000 GD2,ATE,Sq,0.1182,-0.2621,-0.1422,19.2,7.43,*
,,2000 GJ147,APO,S:,,,,19.5,5.31,*
,,2000 GK137,APO,Sq,0.1612,-0.4228,0.0349,17.4,3.66,*
,,2000 GO82,APO,S:,,,,16.8,3.09,*
,,2000 GR146,APO,S:,,,,16.3,4.40,*
,,2000 GU127,APO,S:,,,,18.7,3.33,*
,,2000 GV127,AMO,S:,,,,19.2,2.94,*
,,2000 JG5,APO,S:,,,,18.3,4.40,*
,,2000 JQ66,AMO,R,0.1709,-0.5579,-0.0166,18.1,3.56,*
,,2000 KL33,AMO,S,0.4014,-0.2203,-0.0499,19.7,3.60,*
,,2000 MU1,APO,S,0.3325,-0.1983,-0.0468,19.9,4.71,*
,,2000 NM,APO,Sr,0.2650,-0.2776,-0.0259,15.6,2.93,*
,,2000 OJ8,AMO,Sr,0.2645,-0.2812,-0.0603,16.8,3.31,*
,,2000 PG3,APO,D,0.8912,0.3498,0.0339,16.2,2.55,*
,,2000 RW37,APO,C,0.1129,0.1902,0.0312,20.2,5.09,*
,,2000 SY162,AMO,Sq:,0.1228,-0.0981,-0.1457,19.3,3.44,*
,,2000 WC67,AMO,X,0.3689,0.4058,-0.0624,19.1,3.09,*
,,2000 WF6,AMO,Sq,0.1118,-0.1327,-0.0243,18.7,3.04,*
,,2000 WJ10,AMO,Xk,0.3045,0.1022,-0.0856,20.6,3.59,*
,,2000 WJ63,AMO,Sq,0.0740,-0.1820,-0.0577,20.9,3.02,*
,,2000 WK10,APO,X,0.3869,0.4195,0.0015,18.5,4.25,*
,,2000 WL10,APO,Xc,0.2051,0.2908,-0.0089,18.0,2.72,*
,,2000 WL63,AMO,S,0.3429,0.0344,-0.0231,20.4,4.58,*
,,2000 WM63,APO,S,0.5154,-0.0725,-0.0570,20.2,5.87,*
,,2000 WO107,ATE,X,0.2668,0.3169,-0.0421,19.4,6.23,*
,,2000 XL44,AMO,S,0.3619,-0.0498,0.0778,18.0,3.50,*
,,2000 YA,APO,Sk,0.2565,-0.0491,-0.0387,23.6,3.21,*
,,2000 YF29,APO,S,0.5054,-0.0409,0.0067,20.2,4.47,[5]
,,2000 YH66,APO,Xk,0.3397,0.2441,-0.1048,17.5,5.04,*
,,2000 YO29,APO,C,0.0354,0.2222,-0.0539,18.0,3.36,*
,,2001 AE2,AMO,T,0.5668,0.2436,-0.1098,19.2,4.87,[5]
,,2001 CC21,APO,L,0.4807,0.0529,-0.0668,18.4,5.91,[5]
,,2001 DU8,AMO,S,0.5482,-0.0524,-0.0183,16.4,3.85,*
,,2001 EB,AMO,Sl,0.5774,-0.0567,0.0056,17.3,4.07,*
,,2001 EC,APO,Sq,0.1184,-0.1831,0.0232,18.6,2.91,*
,,2001 FY,AMO,S,0.4578,-0.1350,-0.0223,18.9,3.89,*
,,2001 HA8,AMO,C:,-0.1543,0.4436,0.0146,16.9,3.31,*
,,2001 HK31,AMO,X,0.3964,0.2757,-0.0072,21.0,3.25,*
,,2001 HW15,AMO,X,0.1685,0.2479,0.0028,20.2,4.40,*
,,2001 JM1,AMO,S,0.4320,-0.1749,-0.0220,19.0,4.52,*
,,2001 JV1,APO,Sq,0.1545,-0.1214,0.0050,21.3,4.08,*
,,2001 MF1,AMO,Sk,0.2617,-0.1227,0.0252,16.8,3.03,*
,,2001 OE84,AMO,S,0.3952,-0.1748,-0.0257,17.8,3.43,*
,,2001 PD1,AMO,K:,0.4288,0.0441,0.0519,18.2,3.49,*
,,2001 QA143,AMO,Sk,0.2827,-0.0403,-0.0250,19.6,3.44,*
,,2001 QQ142,APO,Sq,0.1837,0.0108,0.0629,18.5,4.64,*
,,2001 SG10,APO,X,0.2415,0.3184,0.0318,20.3,4.54,[5]
,,2001 SG286,APO,D,1.2455,0.3639,-0.0237,21.1,4.77,[5]
,,2001 SJ262,AMO,C:,-0.0494,0.2849,-0.0085,19.6,2.98,*
,,2001 SK162,AMO,T,0.5451,0.2713,0.0104,17.9,3.77,[5]
,,2001 TC45,APO,Sq,0.0674,0.0230,0.1085,19.1,3.31,*
,,2001 TX16,MC,X,0.3294,0.2983,0.0137,14.1,2.77,*
,,2001 TY44,AMO,X,0.3215,0.4383,-0.0058,20.3,3.35,*
,,2001 UA5,APO,Sq,0.2092,-0.0881,0.0642,17.4,3.94,*
,,2001 UC5,AMO,X,0.2903,0.4534,0.0275,21.3,2.87,*
,,2001 UU92,AMO,T,0.5228,0.3318,-0.1421,19.8,2.80,*
,,2001 UY4,APO,X,0.1920,0.2353,0.0021,18.4,4.23,*
,,2001 VG5,APO,Sq,0.2176,-0.1558,-0.0288,16.7,3.28,*
,,2001 VS78,AMO,S,0.3394,-0.2435,-0.0211,15.5,3.94,*
,,2001 WA25,APO,S,0.2973,-0.2064,-0.0618,18.7,3.90,*
,,2001 WG2,APO,Sk,0.2598,-0.0519,-0.0570,16.3,3.56,*
,,2001 WH2,AMO,X,0.2472,0.3780,-0.0078,20.0,3.65,*
,,2001 WL15,AMO,Sk,0.2623,-0.0668,-0.0806,18.3,3.56,*
,,2001 XN254,AMO,S,0.4937,-0.1993,0.0590,17.5,3.35,*
,,2001 XR1,APO,Sq,0.1650,-0.1272,0.0019,17.4,4.95,*
,,2001 XS1,AMO,Cb,0.1222,0.3537,0.0172,18.8,3.14,*
,,2001 XS30,APO,Xc,0.0369,0.1116,-0.0127,17.5,4.93,*
,,2001 XU30,APO,Sq,0.1909,-0.0616,-0.0501,19.9,3.33,*
,,2001 XY10,ATE,Sk,0.2047,0.0281,-0.0441,20.4,6.66,*
,,2001 YE1,APO,T,0.6117,0.2376,-0.0799,20.6,3.82,*
,,2001 YK4,APO,X:,0.2210,0.2629,0.0195,18.5,2.83,*
,,2002 AA,APO,Sq,0.2389,-0.1375,0.0363,19.5,5.42,*
,,2002 AD9,APO,L,0.6439,0.0097,-0.0828,16.5,3.58,*
,,2002 AH29,AMO,K,0.3581,0.0702,-0.0019,21.7,3.29,*
,,2002 AK14,APO,V:,-0.0590,-0.4693,0.0365,21.7,5.97,*
,,2002 AL14,ATE,Ld,0.9826,0.1559,0.0825,17.8,6.26,*
,,2002 AL31,APO,X,0.2859,0.2359,-0.0202,24.4,5.34,[5]
,,2002 AQ2,AMO,S,0.3978,-0.0367,-0.1564,18.6,3.08,*
,,2002 AT4,AMO,D,0.8578,0.2713,0.0104,20.9,3.95,[5]
,,2002 AU5,APO,X,0.3663,0.2713,0.0104,17.7,3.56,*
,,2002 AV,APO,K,0.2958,0.0557,0.0109,20.7,3.13,*
,,2002 BA1,AMO,S,0.4377,-0.2128,0.0042,21.7,3.73,*
,,2002 BK25,APO,Sk,0.1673,0.0427,-0.0306,18.1,3.13,*
,,2002 BM26,APO,X,0.4393,0.2702,0.0408,20.1,3.86,*
,,2002 BP26,AMO,X,0.2082,0.2083,0.0498,19.3,3.97,*
,,2002 CS11,AMO,X:,0.2506,0.2713,0.0104,21.6,3.70,*
,,2002 CT46,AMO,Sr,0.3123,-0.3365,0.0107,20.9,3.30,*
,,2002 DH2,APO,Ch,0.0228,0.3159,0.0128,20.3,3.52,*
,,2002 DO3,APO,X:,0.2489,0.5103,0.0566,22.0,3.83,*
,,2002 DQ3,AMO,Sq,0.0135,0.0272,-0.0132,23.8,4.74,[5]
,,2002 DU3,APO,Sq,0.2518,-0.2181,0.0157,20.8,5.44,[5]
,,2002 DY3,AMO,Xk,0.2668,0.1899,0.0928,18.6,4.43,*
,,2002 EA,APO,L,0.4936,0.0218,-0.0345,22.4,4.69,*
,,2002 EC,AMO,X:,0.2545,0.3439,-0.2688,23.3,3.51,*
#====================================================================,,,,,,,,,,
#Footnotes,,,,,,,,,,
#*,This work,,,,,,,,,
#[1],Xu et al. (1995),,,,,,,,,
#2],Bus and Binzel (2002a),,,,,,,,,
#[3],Binzel et al. (2001a),,,,,,,,,
#[4],Binzel et al. (2001b),,,,,,,,,
#[5],Binzel et al. (2004b),,,,,,,,,
#[6],Binzel et al. (2004a),,,,,,,,,
